,Code,Trigger Ratio,Close > Open Percentage,Low Violation 1 week,Low Violation 2 week,Low Violation 3 week,Low Violation 4 week,Close Violation 1 week,Close Violation 2 week,Close Violation 3 week,Close Violation 4 week
80,PPG,3.218390804597701,52.38095238095238,28.5714,7.1429,7.1429,0.0,47.619,2.381,0.0,4.7619
81,PPL,2.7586206896551726,47.22222222222222,30.5556,13.8889,2.7778,5.5556,50.0,11.1111,8.3333,0.0
82,PRGO,3.4482758620689653,46.666666666666664,15.5556,13.3333,8.8889,4.4444,55.5556,2.2222,4.4444,0.0
83,PRU,2.935420743639922,43.333333333333336,16.6667,10.0,0.0,3.3333,50.0,20.0,3.3333,6.6667
84,PSA,3.218390804597701,35.714285714285715,30.9524,9.5238,7.1429,0.0,57.1429,11.9048,4.7619,2.381
85,PSX,1.4492753623188406,71.42857142857143,0.0,0.0,0.0,42.8571,14.2857,14.2857,42.8571,0.0
86,PTC,3.2950191570881224,55.81395348837209,20.9302,6.9767,2.3256,0.0,46.5116,4.6512,4.6512,4.6512
87,PVH,3.371647509578544,59.09090909090909,11.3636,15.9091,6.8182,4.5455,40.9091,18.1818,4.5455,0.0
88,PWR,2.454991816693944,63.333333333333336,10.0,10.0,13.3333,0.0,40.0,6.6667,6.6667,3.3333
89,PXD,3.602882305844676,48.888888888888886,17.7778,8.8889,8.8889,4.4444,51.1111,13.3333,8.8889,2.2222
90,PYPL,2.229299363057325,28.571428571428573,28.5714,14.2857,0.0,14.2857,71.4286,14.2857,0.0,0.0
91,QCOM,3.371647509578544,63.63636363636363,20.4545,22.7273,9.0909,2.2727,38.6364,13.6364,4.5455,4.5455
92,QRVO,2.6392961876832843,22.22222222222222,11.1111,11.1111,11.1111,0.0,77.7778,0.0,0.0,0.0
93,RCL,3.8314176245210727,48.0,26.0,12.0,4.0,10.0,58.0,4.0,6.0,8.0
94,REGN,2.7586206896551726,52.77777777777778,13.8889,16.6667,5.5556,5.5556,44.4444,13.8889,2.7778,2.7778
95,REG,3.2950191570881224,55.81395348837209,20.9302,4.6512,4.6512,6.9767,39.5349,11.6279,6.9767,2.3256
96,RE,3.524904214559387,36.95652173913044,21.7391,13.0435,2.1739,8.6957,65.2174,4.3478,4.3478,6.5217
97,RF,3.6015325670498086,42.5531914893617,23.4043,6.383,0.0,8.5106,57.4468,4.2553,6.383,4.2553
98,RHI,3.4482758620689653,55.55555555555556,24.4444,17.7778,2.2222,8.8889,51.1111,8.8889,8.8889,4.4444
99,RJF,4.061302681992337,62.264150943396224,16.9811,20.7547,9.434,3.7736,43.3962,18.8679,5.6604,1.8868
100,RL,2.7048528241845666,47.05882352941177,14.7059,20.5882,8.8235,2.9412,47.0588,14.7059,0.0,0.0
101,RMD,2.375478927203065,58.064516129032256,16.129,9.6774,9.6774,3.2258,48.3871,0.0,9.6774,12.9032
102,ROK,3.604294478527607,46.808510638297875,23.4043,10.6383,8.5106,10.6383,53.1915,8.5106,2.1277,0.0
103,ROL,3.1417624521072796,58.53658536585366,17.0732,7.3171,9.7561,0.0,43.9024,14.6341,0.0,2.439
104,ROP,3.185703185703186,65.85365853658537,12.1951,14.6341,0.0,14.6341,36.5854,9.7561,7.3171,2.439
105,ROST,2.4521072796934864,46.875,25.0,18.75,3.125,0.0,50.0,21.875,3.125,3.125
106,RSG,2.9118136439267888,60.0,20.0,8.5714,2.8571,2.8571,40.0,2.8571,5.7143,5.7143
107,RTX,3.0651340996168583,60.0,17.5,12.5,2.5,2.5,35.0,17.5,7.5,5.0
